[2025-01-01T05:54:46,886][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-slm]
[2025-01-01T05:54:46,886][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [snapshot-based-recoveries]
[2025-01-01T05:54:46,886][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-watcher]
[2025-01-01T05:54:46,887][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [old-lucene-versions]
[2025-01-01T05:54:46,888][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-ilm]
[2025-01-01T05:54:46,890][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-voting-only-node]
[2025-01-01T05:54:46,891][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-deprecation]
[2025-01-01T05:54:46,892][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-fleet]
[2025-01-01T05:54:46,894][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-aggregate-metric]
[2025-01-01T05:54:46,894][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-downsample]
[2025-01-01T05:54:46,894][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-profiling]
[2025-01-01T05:54:46,894][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [ingest-geoip]
[2025-01-01T05:54:46,894][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [inference]
[2025-01-01T05:54:46,894][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-write-load-forecaster]
[2025-01-01T05:54:46,895][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [search-business-rules]
[2025-01-01T05:54:46,895][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [ingest-attachment]
[2025-01-01T05:54:46,895][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [wildcard]
[2025-01-01T05:54:46,895][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [unsigned-long]
[2025-01-01T05:54:46,896][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-sql]
[2025-01-01T05:54:46,896][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [runtime-fields-common]
[2025-01-01T05:54:46,896][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-async]
[2025-01-01T05:54:46,896][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [vector-tile]
[2025-01-01T05:54:46,896][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [lang-expression]
[2025-01-01T05:54:46,896][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-eql]
[2025-01-01T05:55:00,731][INFO ][o.e.e.NodeEnvironment    ] [wsapp-node-1] using [1] data paths, mounts [[OS (c:)]], net usable_space [56.8gb], net total_space [475.4gb], types [NTFS]
